aerobics	adventurer
apparel	aggressive
assistant	tycoon
baker	warrior
bathing	ambitious
beautiful	trucker
beauty	welder
blonde	strong
bookkeeper	terrorist
ca	soldier
cashier	astronomer
chatty	sniper
cheerleader	skipper
cheerleading	banker
clerk	baseball
cocktail	sergeant
cooking	bodyguard
counselor	boss
crafting	boxer
cute	cabbie
dancer	captain
educator	cardiologist
emotional	carpenter
flirt	ceo
flirtatious	chairperson
flower	chancellor
gossip	chef
graceful	colonel
hairdresser	commander
hairdryer	conductor
homemaker	police
hooker	custodian
housekeeper	dentist
housekeepers	detective
housework	diplomat
hula	doctor
indoor	driving
jealousy	drummer
jewelry	economist
kawaii	electrician
laundering	engineer
librarian	engineering
librarians	entrepreneur
lotion	financier
lovely	firefighter
marvelous	footballer
mirror	gambler
moisturizer	gamer
nanny	gangster
neat	geek
nurse	geeks
nursery	gentle
nurses	guitarist
nurturing	industrialist
parenting	inventor
passive	investigator
pink	laborer
pretty	lawyer
receptionist	leader
ribbon	lieutenant
romance	lifeguard
romantic	magistrate
secretary	manager
selfie	marshal
server	mathematician
sew	mechanic
sewing	muscle
shopping	muscular
smoothie	owner
soft	philosopher
softball	physicist
stylist	pilot
submissive	plumber
sweet	politician
tailor	president
tall	professor
teacher	programmer
thin	rugby
violinist	sailor
waiter	science
weak	scientist
yoga	sculptor
hysterical	blue
makeup	football
